"numero_ocorrencia","ano","mes","dia","rpm_2024","ueop_2024","cia_pm","pelotao","nome_municipio","nome_bairro","natureza_ocorrencia_descricao_longa","numero_envolvido","envolvimento_descricao","furto","roubo","extorsao","data_fato"
"2024-024151989-001",2024,5,27,"15 RPM","19 BPM","232 CIA PM",PM,CATUJI,ZONA RURAL,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-27"
"2024-024115524-001",2024,5,24,"15 RPM","19 BPM","42 CIA PM",PM,TEOFILO OTONI,SAO JACINTO,FURTO,1.0,SOLICITANTE,1,0,0,"2024-05-24"
"2024-024113973-001",2024,5,22,"15 RPM","19 BPM","155 CIA PM",PM,CAMPANARIO,,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-22"
"2024-024090228-001",2024,5,26,"15 RPM","19 BPM","232 CIA PM",PM,NOVO CRUZEIRO,,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-26"
"2024-024072830-001",2024,5,27,"15 RPM","19 BPM","42 CIA PM",PM,TEOFILO OTONI,PALHA,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-27"
"2024-024055859-001",2024,5,27,"15 RPM","19 BPM","232 CIA PM",PC,POTE,SUCANGA,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-27"
"2024-024051393-001",2024,5,26,"15 RPM","19 BPM","42 CIA PM",PM,TEOFILO OTONI,LOCALIDADE DA LAJINHA,FURTO,1.0,SOLICITANTE,1,0,0,"2024-05-26"
"2024-023996489-001",2024,5,26,"15 RPM","19 BPM","232 CIA PM",PM,MALACACHETA,ALVORADA,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-26"
"2024-023847270-001",2024,5,25,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,MARAJOARA,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-25"
"2024-023831132-001",2024,5,25,"15 RPM","19 BPM","42 CIA PM",PM,TEOFILO OTONI,BELA VISTA,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-25"
"2024-023810230-001",2024,5,25,"15 RPM","19 BPM","232 CIA PM",PM,NOVO CRUZEIRO,,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-25"
"2024-023719460-001",2024,5,24,"15 RPM","19 BPM","232 CIA PM",PM,CARAI,,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-24"
"2024-023692230-001",2024,5,24,"15 RPM","19 BPM","232 CIA PM",PM,CARAI,,FURTO,1.0,SOLICITANTE,1,0,0,"2024-05-24"
"2024-023691669-001",2024,5,23,"15 RPM","19 BPM","232 CIA PM",PC,NOVO CRUZEIRO,NOVILHONA,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-23"
"2024-023690909-001",2024,5,24,"15 RPM","19 BPM","232 CIA PM",PM,LADAINHA,,FURTO,3.0,SOLICITANTE,0,0,0,"2024-05-24"
"2024-023690909-001",2024,5,24,"15 RPM","19 BPM","232 CIA PM",PM,LADAINHA,,FURTO,1.0,SOLICITANTE,0,0,0,"2024-05-24"
"2024-023690909-001",2024,5,24,"15 RPM","19 BPM","232 CIA PM",PM,LADAINHA,,FURTO,2.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-24"
"2024-023687513-001",2024,5,23,"15 RPM","19 BPM","232 CIA PM",PM,POTE,CENTRO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-23"
"2024-023685110-001",2024,5,19,"15 RPM","19 BPM","47 CIA PM",PC,TEOFILO OTONI,CENTRO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-19"
"2024-023673758-001",2024,5,24,"15 RPM","19 BPM","42 CIA PM",PM,TEOFILO OTONI,SAO JACINTO,FURTO,1.0,SOLICITANTE,0,0,0,"2024-05-24"
"2024-023673758-001",2024,5,24,"15 RPM","19 BPM","42 CIA PM",PM,TEOFILO OTONI,SAO JACINTO,FURTO,3.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-24"
"2024-023504507-001",2024,5,18,"15 RPM","19 BPM","42 CIA PM",PC,TEOFILO OTONI,BELA VISTA,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-18"
"2024-023484467-001",2024,5,19,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-19"
"2024-023482126-001",2024,5,23,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,CENTRO,FURTO,2.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-23"
"2024-023482126-001",2024,5,23,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,CENTRO,FURTO,3.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-23"
"2024-023469324-001",2024,5,23,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,GRAO PARA,FURTO,2.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-23"
"2024-023407231-001",2024,5,22,"15 RPM","19 BPM","155 CIA PM",PM,OURO VERDE DE MINAS,CENTRO,FURTO,2.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-22"
"2024-023407231-001",2024,5,22,"15 RPM","19 BPM","155 CIA PM",PM,OURO VERDE DE MINAS,CENTRO,FURTO,1.0,SOLICITANTE,0,0,0,"2024-05-22"
"2024-023369096-001",2024,5,22,"15 RPM","19 BPM","42 CIA PM",PM,TEOFILO OTONI,JOAQUIM PEDROSA,FURTO,1.0,SOLICITANTE,1,0,0,"2024-05-22"
"2024-023344261-001",2024,5,22,"15 RPM","19 BPM","42 CIA PM",PM,TEOFILO OTONI,RIO PRETINHO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-22"
"2024-023335611-001",2024,5,20,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,CENTRO,FURTO,2.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-20"
"2024-023335611-001",2024,5,20,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,CENTRO,FURTO,1.0,SOLICITANTE,0,0,0,"2024-05-20"
"2024-023324220-001",2024,5,22,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,CENTRO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-22"
"2024-023299174-001",2024,5,22,"15 RPM","19 BPM","155 CIA PM",PM,ITAMBACURI,CENTRO,FURTO,4.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-22"
"2024-023299174-001",2024,5,22,"15 RPM","19 BPM","155 CIA PM",PM,ITAMBACURI,CENTRO,FURTO,3.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-22"
"2024-023203479-001",2024,5,21,"15 RPM","19 BPM","232 CIA PM",PM,NOVO CRUZEIRO,SAO BENTO,FURTO,2.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-21"
"2024-023203479-001",2024,5,21,"15 RPM","19 BPM","232 CIA PM",PM,NOVO CRUZEIRO,SAO BENTO,FURTO,3.0,SOLICITANTE,0,0,0,"2024-05-21"
"2024-023193835-001",2024,5,21,"15 RPM","19 BPM","47 CIA PM",PC,TEOFILO OTONI,LOURIVAL SOARES DA COSTA,EXTORSAO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,0,0,1,"2024-05-21"
